Sample,Group
GWR_100_119,1
GWR_100_324,1
XXX_100_64,1
GWR_100_241,1
GWR_100_336,1
GWR_100_180,1
XXX_100_37,1
GWR_100_276,1
XXX_100_128,1
XXX_100_30,1
GWR_100_39,1
GWR_100_156,1
GWR_100_185,1
GWR_100_273,1
GWR_100_24,1
GWR_100_133,1
XXX_100_110,1
GWR_100_222,1
GWR_100_28,1
GWR_100_194,1
GWR_100_285,1
GWR_100_437,1
GWR_100_46,1
GWR_100_315,1
GWR_100_377,1
GWR_100_438,1
GWR_100_53,1
GWR_100_447,1
XXX_100_11,1
GWR_100_334,1
GWR_100_195,1
GWR_100_426,1
GWR_100_40,1
XXX_100_50,1
GWR_100_444,1
GWR_100_107,1
GWR_100_304,1
GWR_100_296,1
IFG_100_462,1
XXX_100_234,1
GWR_100_431,2
GWR_100_122,2
GWR_100_227,2
XXX_100_167,2
GWR_100_147,2
GWR_100_360,2
XXX_100_51,2
XXX_100_54,2
GWR_100_200,2
XXX_100_163,2
XXX_100_139,2
GWR_100_212,2
XXX_100_13,2
GWR_100_352,2
GWR_100_3,2
GWR_100_483,2
XXX_100_233,2
GWR_100_2,2
GWR_100_450,2
XXX_100_68,2
GWR_100_110,2
GWR_100_497,2
XXX_100_117,2
XXX_100_67,2
XXX_100_118,2
GWR_100_370,2
GWR_100_89,2
GWR_100_461,2
XXX_100_59,2
GWR_100_248,2
XXX_100_124,2
GWR_100_301,2
XXX_100_66,2
GWR_100_415,2
GWR_100_125,2
GWR_100_14,2
XXX_100_61,2
XXX_100_60,2
XXX_100_161,2
GWR_100_19,2
