"","Sample","Group","Seq.Name"
"1","GWR_100_110",1,"POP26_81"
"2","GWR_100_444",1,"POP30_15"
"3","GWR_100_39",1,"POP27_08"
"4","XXX_100_160",1,NA
"5","XXX_100_2",1,"POP27_30"
"6","XXX_100_66",1,"POP27_81"
"7","GWR_100_71",1,"POP30_26POP31_54"
"8","GWR_100_326",1,"POP26_67"
"9","XXX_100_179",1,"POP28_47"
"10","GWR_100_356",1,"POP25_19"
"11","GWR_100_335",1,"POP26_07"
"12","XXX_100_68",1,"POP28_49"
"13","GWR_100_488",1,"POP25_72"
"14","XXX_100_241",1,"POP30_57"
"15","GWR_100_150",1,"POP31_41"
"16","XXX_100_186",1,"POP29_47"
"17","XXX_100_67",1,"POP28_09"
"18","GWR_100_236",1,"POP26_50"
"19","XXX_100_58",1,"POP25_62"
"20","GWR_100_333",1,"POP25_12"
"21","GWR_100_459",1,"POP27_06"
"22","XXX_100_119",1,"POP29_90"
"23","GWR_100_466",1,"POP29_55POP30_48"
"24","XXX_100_232",1,"POP30_51"
"25","XXX_100_233",1,"POP28_50POP30_75"
"26","GWR_100_461",1,"POP29_79"
"27","XXX_100_112",1,"POP27_92"
"28","XXX_100_117",1,"POP27_70"
"29","XXX_100_127",1,"POP26_82POP30_76"
"30","XXX_100_59",1,"POP26_60"
"31","XXX_100_60",1,"POP26_71"
"32","XXX_100_62",1,"POP26_10"
"33","XXX_100_165",1,"POP29_63"
"34","GWR_100_478",1,"POP28_21"
"35","GWR_100_415",1,"POP26_63"
"36","GWR_100_276",1,"POP26_03POP29_66"
"37","GWR_100_401",1,"POP28_07"
"38","GWR_100_392",1,"POP30_94"
"39","GWR_100_30",1,"POP29_56POP30_12"
"40","XXX_100_105",1,"POP27_88"
"41","GWR_100_428",2,"POP30_52"
"42","XXX_100_91",2,NA
"43","GWR_100_497",2,"POP26_27"
"44","GWR_100_107",2,"POP26_02"
"45","GWR_100_193",2,"POP26_66POP29_71POP29_86"
"46","GWR_100_14",2,"POP25_95"
"47","XXX_100_116",2,"POP30_47"
"48","GWR_100_329",2,"POP28_86"
"49","GWR_100_76",2,"POP26_56"
"50","GWR_100_287",2,"POP29_42"
"51","XXX_100_61",2,"POP29_84"
"52","GWR_100_95",2,"POP25_16"
"53","GWR_100_92",2,"POP28_16POP29_09"
"54","GWR_100_389",2,"POP26_24POP28_51"
"55","GWR_100_195",2,"POP25_33"
"56","GWR_100_65",2,"POP28_03"
"57","GWR_100_237",2,"POP27_44"
"58","GWR_100_443",2,"POP25_81"
"59","GWR_100_350",2,"POP26_33"
"60","GWR_100_172",2,"POP27_95POP30_19"
"61","XXX_100_89",2,"POP31_69"
"62","XXX_100_37",2,"POP25_30POP29_21"
"63","GWR_100_308",2,"POP27_03"
"64","XXX_100_70",2,"POP26_42POP30_02"
"65","GWR_100_81",2,"POP29_54"
"66","GWR_100_339",2,"POP28_31"
"67","GWR_100_465",2,"POP26_92POP30_01"
"68","XXX_100_72",2,"POP26_65"
"69","GWR_100_355",2,"POP27_86POP30_96"
"70","GWR_100_69",2,"POP25_35"
"71","GWR_100_476",2,NA
"72","XXX_100_32",2,"POP26_49"
"73","GWR_100_283",2,"POP28_46POP31_62"
"74","GWR_100_130",2,"POP25_29"
"75","GWR_100_313",2,"POP29_43POP31_29"
"76","GWR_100_42",2,"POP25_10POP30_93"
"77","XXX_100_108",2,"POP26_88"
"78","GWR_100_113",2,"POP25_34"
"79","GWR_100_470",2,"POP27_66"
"80","GWR_100_70",2,"POP25_41"
