"","Sample","Group","Seq.Name"
"1","GWR_100_328",1,"POP27_09"
"2","GWR_100_117",1,"POP31_21"
"3","GWR_100_157",1,"POP25_02POP28_69"
"4","GWR_100_179",1,"POP270_2"
"5","GWR_100_99",1,"POP27_45"
"6","GWR_100_195",1,"POP25_33"
"7","GWR_100_151",1,"POP26_54"
"8","GWR_100_116",1,"POP25_28"
"9","GWR_100_159",1,"POP27_56POP28_66"
"10","GWR_100_13",1,"POP25_36"
"11","XXX_100_64",1,"POP26_30"
"12","GWR_100_327",1,"POP27_57POP28_54"
"13","GWR_100_260",1,"POP30_46POP31_27"
"14","XXX_100_35",1,"POP26_52"
"15","GWR_100_149",1,"POP29_76POP31_88"
"16","GWR_100_170",1,"POP28_26"
"17","XXX_100_89",1,"POP31_69"
"18","GWR_100_254",1,"POP26_83"
"19","GWR_100_276",1,"POP26_03POP29_66"
"20","XXX_100_232",1,"POP30_51"
"21","IFG_100_462",1,"POP30_11"
"22","GWR_100_426",1,"POP30_56"
"23","GWR_100_193",1,"POP26_66POP29_71POP29_86"
"24","GWR_100_156",1,"POP26_79"
"25","GWR_100_433",1,"POP31_44"
"26","XXX_100_247",1,NA
"27","GWR_100_53",1,"POP31_32POP31_55"
"28","GWR_100_119",1,"POP28_04POP29_53"
"29","GWR_100_95",1,"POP25_16"
"30","XXX_100_74",1,"POP26_72"
"31","GWR_100_332",1,"POP28_14"
"32","GWR_100_52",1,"POP30_43"
"33","GWR_100_111",1,"POP28_45"
"34","GWR_100_133",1,"POP27_63"
"35","GWR_100_255",1,"POP28_20POP31_05"
"36","GWR_100_62",1,"POP25_14"
"37","GWR_100_271",1,"POP28_92"
"38","GWR_100_183",1,NA
"39","GWR_100_198",1,"POP26_41"
"40","GWR_100_308",1,"POP27_03"
"41","GWR_100_108",2,"POP29_20"
"42","GWR_100_292",2,"POP30_33"
"43","XXX_100_110",2,"POP26_46"
"44","GWR_100_212",2,"POP29_07POP30_61"
"45","GWR_100_444",2,"POP30_15"
"46","XXX_100_56",2,"POP27_11"
"47","GWR_100_96",2,"POP28_29"
"48","GWR_100_447",2,"POP26_25POP29_05POP29_75"
"49","XXX_100_71",2,"POP25_23"
"50","GWR_100_349",2,"POP31_19POP31_87"
"51","GWR_100_121",2,"POP27_41"
"52","GWR_100_132",2,"POP27_38"
"53","GWR_100_345",2,"POP25_42"
"54","GWR_100_240",2,"POP25_24"
"55","GWR_100_315",2,"POP30_38"
"56","XXX_100_66",2,"POP27_81"
"57","GWR_100_467",2,"POP28_70"
"58","GWR_100_273",2,"POP30_65"
"59","GWR_100_428",2,"POP30_52"
"60","XXX_100_165",2,"POP29_63"
"61","GWR_100_338",2,"POP25_85"
"62","XXX_100_61",2,"POP29_84"
"63","GWR_100_154",2,"POP30_72"
"64","GWR_100_350",2,"POP26_33"
"65","GWR_100_86",2,"POP28_73"
"66","GWR_100_107",2,"POP26_02"
"67","GWR_100_473",2,"POP27_35"
"68","GWR_100_335",2,"POP26_07"
"69","GWR_100_385",2,"POP27_24"
"70","GWR_100_123",2,"POP26_80POP30_39"
"71","GWR_100_167",2,"POP28_79"
"72","XXX_100_158",2,"POP29_15"
"73","GWR_100_30",2,"POP29_56POP30_12"
"74","XXX_100_170",2,"POP28_36"
"75","GWR_100_304",2,"POP25_79"
"76","GWR_100_414",2,"POP30_07"
"77","GWR_100_372",2,"POP29_01"
"78","GWR_100_263",2,"POP28_24"
"79","GWR_100_244",2,"POP25_96"
"80","GWR_100_401",2,"POP28_07"
