Old.Name	Seq.Name
XXX_100_16	POP25_01
GWR_100_157	POP25_02POP28_69
GWR_100_220	POP25_03
GWR_100_199	POP25_04
XXX_100_84	POP25_05
IFG_100_99	POP25_06POP29_11
GWR_100_231	POP25_07
GWR_100_343	POP25_08
GWR_100_19	POP25_09
GWR_100_42	POP25_10POP30_93
IFG_100_15	POP25_11POP30_74
GWR_100_333	POP25_12
GWR_100_499	POP25_13
GWR_100_62	POP25_14
GWR_100_420	POP25_15POP31_08
GWR_100_95	POP25_16
IFG_100_77	POP25_17
GWR_100_312	POP25_18
GWR_100_356	POP25_19
GWR_100_483	POP25_20
XXX_100_80	POP25_21
IFG_100_38	POP25_22
XXX_100_71	POP25_23
GWR_100_240	POP25_24
XXX_100_88	POP25_25
GWR_100_261	POP25_26
GWR_100_4	POP25_27
GWR_100_116	POP25_28
GWR_100_130	POP25_29
XXX_100_37	POP25_30POP29_21
XXX_100_18	POP25_31
GWR_100_48	POP25_32POP29_74
GWR_100_195	POP25_33
GWR_100_113	POP25_34
GWR_100_69	POP25_35
GWR_100_13	POP25_36
XXX_100_123	POP25_37
XXX_100_120	POP25_38
XXX_100_12	POP25_39
GWR_100_162	POP25_40
GWR_100_70	POP25_41
GWR_100_345	POP25_42
GWR_100_160	POP25_43
IFG_100_95	POP25_44
IFG_100_25	POP25_45
IFG_100_7	POP25_46
XXX_100_30	POP25_47
GWR_100_5	POP25_48
GWR_100_369	POP25_49
GWR_100_33	POP25_50
GWR_100_164	POP25_51
IFG_100_50	POP25_52
IFG_100_12	POP25_53POP31_38
XXX_100_118	POP25_54
GWR_100_300	POP25_55
GWR_100_126	POP25_56POP28_43
GWR_100_464	POP25_57
XXX_100_52	POP25_58
IFG_100_64	POP25_59POP29_17
GWR_100_196	POP25_60
IFG_100_40	POP25_61POP28_95
XXX_100_58	POP25_62
IFG_100_23	POP25_63
GWR_100_370	POP25_64
GWR_100_437	POP25_65
XXX_100_86	POP25_66
GWR_100_277	POP25_67POP29_45
GWR_100_445	POP25_68
XXX_100_36	POP25_69
GWR_100_441	POP25_70POP28_72
IFG_100_100	POP25_71POP29_70
GWR_100_488	POP25_72
GWR_100_200	POP25_73
GWR_100_134	POP25_74
IFG_100_79	POP25_75
IFG_100_29	POP25_76
GWR_100_450	POP25_77
IFG_100_66	POP25_78
GWR_100_304	POP25_79
GWR_100_227	POP25_80POP29_28POP29_78
GWR_100_443	POP25_81
IFG_100_102	POP25_82
GWR_100_301	POP25_83
GWR_100_50	POP25_84POP29_88
GWR_100_338	POP25_85
IFG_100_59	POP25_86
IFG_100_20	POP25_87POP31_16
GWR_100_44	POP25_88
GWR_100_238	POP25_89
GWR_100_413	POP25_90POP28_91
XXX_100_31	POP25_91
XXX_100_26	POP25_92
IFG_100_2	POP25_93
GWR_100_224	POP25_94
GWR_100_14	POP25_95
GWR_100_244	POP25_96
IFG_100_75	POP26_01POP29_83POP31_63
GWR_100_107	POP26_02
GWR_100_276	POP26_03POP29_66
GWR_100_214	POP26_04
GWR_100_340	POP26_05
GWR_100_294	POP26_06POP31_48
GWR_100_335	POP26_07
GWR_100_295	POP26_08
XXX_100_73	POP26_09
XXX_100_62	POP26_10
IFG_100_16	POP26_11
GWR_100_302	POP26_12
XXX_100_101	POP26_13
GWR_100_394	POP26_14
GWR_100_319	POP26_15
IFG_100_24	POP26_16POP28_94
IFG_100_32	POP26_17POP28_25
IFG_100_14	POP26_18
GWR_100_241	POP26_19
GWR_100_215	POP26_20
IFG_100_57	POP26_21
XXX_100_28	POP26_22
XXX_100_51	POP26_23
GWR_100_389	POP26_24POP28_51
GWR_100_447	POP26_25POP29_05POP29_75
IFG_100_19	POP26_26POP28_48POP29_50
GWR_100_497	POP26_27
GWR_100_492	POP26_28
XXX_100_5	POP26_29
XXX_100_64	POP26_30
XXX_100_63	POP26_31
IFG_100_74	POP26_32POP31_30
GWR_100_350	POP26_33
XXX_100_43	POP26_34POP30_82
GWR_100_210	POP26_35
XXX_100_7	POP26_36
GWR_100_360	POP26_37
GWR_100_501	POP26_38
GWR_100_477	POP26_39POP31_20
GWR_100_266	POP26_40POP30_81
GWR_100_198	POP26_41
XXX_100_70	POP26_42POP30_02
GWR_100_386	POP26_43
GWR_100_341	POP26_44
XXX_100_19	POP26_45
XXX_100_110	POP26_46
GWR_100_143	POP26_47
GWR_100_423	POP26_48
XXX_100_32	POP26_49
GWR_100_236	POP26_50
GWR_100_178	POP26_51
XXX_100_35	POP26_52
GWR_100_90	POP26_53POP29_69
GWR_100_151	POP26_54
GWR_100_342	POP26_55
GWR_100_76	POP26_56
GWR_100_487	POP26_57
XXX_100_39	POP26_58
XXX_100_42	POP26_59
XXX_100_59	POP26_60
IFG_100_84	POP26_61POP28_74
GWR_100_457	POP26_62
GWR_100_415	POP26_63
GWR_100_141	POP26_64
XXX_100_72	POP26_65
GWR_100_193	POP26_66POP29_71POP29_86
GWR_100_326	POP26_67
GWR_100_504	POP26_68
IFG_100_33	POP26_69
GWR_100_257	POP26_70
XXX_100_60	POP26_71
XXX_100_74	POP26_72
IFG_100_4	POP26_73POP29_82
GWR_100_58	POP26_74
XXX_100_44	POP26_75
GWR_100_316	POP26_76
IFG_100_61	POP26_77POP31_46
IFG_100_86	POP26_78POP29_95
GWR_100_156	POP26_79
GWR_100_123	POP26_80POP30_39
GWR_100_110	POP26_81
XXX_100_127	POP26_82POP30_76
GWR_100_254	POP26_83
GWR_100_352	POP26_84POP28_60POP29_93
GWR_100_83	POP26_85
IFG_100_3	POP26_86
IFG_100_30	POP26_87
XXX_100_108	POP26_88
IFG_100_105	POP26_89
XXX_100_17	POP26_90
GWR_100_334	POP26_91POP28_40
GWR_100_465	POP26_92POP30_01
GWR_100_391	POP26_93
GWR_100_182	POP26_94POP30_67
XXX_100_106	POP26_95
XXX_100_25	POP26_96
GWR_100_63	POP27_01
GWR_100_179	POP270_2
GWR_100_308	POP27_03
GWR_100_278	POP27_04
XXX_100_45	POP27_05
GWR_100_459	POP27_06
XXX_100_128	POP27_07
GWR_100_39	POP27_08
GWR_100_328	POP27_09
GWR_100_54	POP27_10
XXX_100_56	POP27_11
IFG_100_9	POP27_12POP28_34
GWR_100_211	POP27_13
IFG_100_26	POP27_14
GWR_100_387	POP27_15
GWR_100_203	POP27_16
XXX_100_114	POP27_17
GWR_100_242	POP27_18
XXX_100_3	POP27_19
IFG_100_98	POP27_20
IFG_100_46	POP27_21
GWR_100_471	POP27_22
XXX_100_27	POP27_23
GWR_100_385	POP27_24
XXX_100_115	POP27_25POP29_61
GWR_100_40	POP27_26
XXX_100_65	POP27_27
XXX_100_23	POP27_28
XXX_100_34	POP27_29
XXX_100_2	POP27_30
XXX_100_40	POP27_31
GWR_100_175	POP27_32
GWR_100_49	POP27_33
IFG_100_10	POP27_34
GWR_100_473	POP27_35
XXX_100_82	POP27_36
GWR_100_180	POP27_37POP29_23
GWR_100_132	POP27_38
GWR_100_104	POP27_39
IFG_100_72	POP27_40POP29_39
GWR_100_121	POP27_41
GWR_100_298	POP27_42
GWR_100_247	POP27_43
GWR_100_237	POP27_44
GWR_100_99	POP27_45
XXX_100_4	POP27_46POP29_40
IFG_100_87	POP27_47POP31_37
XXX_100_109	POP27_48
GWR_100_460	POP27_49
XXX_100_81	POP27_50
XXX_100_50	POP27_51
IFG_100_56	POP27_52POP31_12
XXX_100_33	POP27_53
IFG_100_76	POP27_54POP29_46
XXX_100_14	POP27_55
GWR_100_159	POP27_56POP28_66
GWR_100_327	POP27_57POP28_54
GWR_100_213	POP27_58POP30_95
IFG_100_47	POP27_59POP29_72POP31_45
IFG_100_101	POP27_60POP30_05
GWR_100_489	POP27_61
XXX_100_49	POP27_62
GWR_100_133	POP27_63
XXX_100_21	POP27_64
GWR_100_479	POP27_65POP31_42
GWR_100_470	POP27_66
XXX_100_46	POP27_67POP30_73
XXX_100_126	POP27_68
IFG_100_22	POP27_69POP31_18
XXX_100_117	POP27_70
GWR_100_246	POP27_71POP29_25
XXX_100_83	POP27_72
XXX_100_47	POP27_73
GWR_100_438	POP27_74
IFG_100_45	POP27_75
GWR_100_379	POP27_76
GWR_100_374	POP27_77
XXX_100_6	POP27_78
XXX_100_10	POP27_79
GWR_100_258	POP27_80
XXX_100_66	POP27_81
XXX_100_79	POP27_82
XXX_100_8	POP27_83
XXX_100_11	POP27_84
XXX_100_78	POP27_85
GWR_100_355	POP27_86POP30_96
IFG_100_35	POP27_87
XXX_100_105	POP27_88
GWR_100_24	POP27_89
XXX_100_20	POP27_90
XXX_100_38	POP27_91POP28_37
XXX_100_112	POP27_92
XXX_100_122	POP27_93
GWR_100_494	POP27_94
GWR_100_172	POP27_95POP30_19
GWR_100_250	POP27_96
IFG_100_39	POP28_01
GWR_100_491	POP28_02
GWR_100_65	POP28_03
GWR_100_119	POP28_04POP29_53
IFG_100_43	POP28_05
XXX_100_24	POP28_06
GWR_100_401	POP28_07
XXX_100_53	POP28_08
XXX_100_67	POP28_09
GWR_100_377	POP28_10
XXX_100_48	POP28_11
IFG_100_44	POP28_12
GWR_100_28	POP28_13
