Old.Name,Blup_Transfo_PC1_y1_y2,Blup_Transfo_PC2_y1_y2,Blup_Transfo_PC3_y1_y2,Blup_Transfo_PC4_y1_y2,Blup_Transfo_PC1_PC2_y1_y2,Blup_Transfo_PC1_PC3_y1_y2,Blup_Transfo_PC2_PC3_y1_y2,Blup_Transfo_PC1_PC4_y1_y2,Blup_Transfo_PC2_PC4_y1_y2,Blup_Transfo_PC3_PC4_y1_y2,Blup_Transfo_PC1_year2,Blup_Transfo_PC2_year2,Blup_Transfo_PC3_year2,Blup_Transfo_PC4_year2,Blup_Transfo_PC1_PC2_year2,Blup_Transfo_PC1_PC3_year2,Blup_Transfo_PC2_PC3_year2,Blup_Transfo_PC1_PC4_year2,Blup_Transfo_PC2_PC4_year2,Blup_Transfo_PC3_PC4_year2,Blup_Transfo_Area_2_cavities_filled_field_year2,Blup_Transfo_Perimeter_2_excl_cavities_field_year2,Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_year2,Blup_Transfo_Circularity_field_year2,Blup_Transfo_Horiz_size_center_field_year2,Blup_Transfo_Horiz_size_25perc_field_year2,Blup_Transfo_Horiz_size_50perc_field_year2,Blup_Transfo_Horiz_size_75perc_field_year2,Blup_Transfo_Vert_size_center_field_year2,Blup_Transfo_Vert_size_25perc_field_year2,Blup_Transfo_Vert_size_50perc_field_year2,Blup_Transfo_Vert_size_75perc_field_year2,Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2,Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_year2,Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_year2,Blup_Transfo_Num_Indents_field_year2,Blup_Transfo_Indent_width_mean_field_year2,Blup_Transfo_Indent_depth_mean_field_year2,Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Blup_Transfo_Perimeter_2_excl_cavities_field_y1_y2,Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_y1_y2,Blup_Transfo_Circularity_field_y1_y2,Blup_Transfo_Horiz_size_center_field_y1_y2,Blup_Transfo_Horiz_size_25perc_field_y1_y2,Blup_Transfo_Horiz_size_50perc_field_y1_y2,Blup_Transfo_Horiz_size_75perc_field_y1_y2,Blup_Transfo_Vert_size_center_field_y1_y2,Blup_Transfo_Vert_size_25perc_field_y1_y2,Blup_Transfo_Vert_size_50perc_field_y1_y2,Blup_Transfo_Vert_size_75perc_field_y1_y2,Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_y1_y2,Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_y1_y2,Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2,Blup_Transfo_Num_Indents_field_y1_y2,Blup_Transfo_Indent_width_mean_field_y1_y2,Blup_Transfo_Indent_depth_mean_field_y1_y2
GWR_100_220,0.004438377,-0.002943389,-0.009973569,0.006829844,0.002837541,0.008430816,0.004780432,-0.001642841,-0.003808762,-0.010599809,-0.014644099,-0.019135712,-0.003655678,0.018048987,0.003924284,-0.003891954,-0.007665956,-0.015395991,-0.011988798,-0.011915503,7.447300078,38.7802186,1.059917759,-1.205799225,13.17133034,0.009765123,10.60054536,14.19392091,8.067979062,3.795518609,2.253205555,2.677859788,-0.024582935,-0.056530677,3.87508e-4,4.072985465,0.07903207,0.084682804,12.46037234,27.13321541,1.859954805,-1.865094806,20.2416585,0.020663095,14.23236777,22.28178131,14.69873156,3.387585825,10.80074425,2.767001879,-0.03379618,-0.103508258,1.09056e-4,8.803119144,0.071952867,0.149362344
GWR_100_199,0.047422883,-0.003075388,0.026519815,0.005231065,0.025453146,0.007563225,-0.018155748,0.017752742,-0.003369885,0.012446151,0.05136638,0.013939115,0.008525089,0.003765773,0.017631155,0.017465017,5.09603e-4,0.020835052,0.003281096,0.00498067,15.79399799,106.6298984,4.383930635,-1.702154416,17.66181293,0.036638712,10.78557572,17.55127734,27.12662671,17.10993662,24.95645227,8.5843473,0.020493825,-0.058270895,0.00730912,11.5442511,0.100397835,0.212276282,14.83461431,60.93850804,3.514477749,-2.298364484,17.20630202,0.011684606,11.07136159,17.0379358,24.95522404,10.12433503,21.8670441,5.819860544,0.020406862,-0.089659943,0.001154781,9.551021361,0.11157968,0.216668172
GWR_100_343,0.017856072,-0.00932687,-0.001298857,-0.012618865,0.013174987,0.010249358,-0.004305478,0.01449504,9.55129e-4,0.006640683,0.040021906,0.01634889,-0.003063904,-0.001705606,0.009119982,0.022744239,0.012950016,0.018369372,0.00564919,-0.002100767,-4.264547477,-19.34611143,0.393841505,-3.479149253,-4.880672682,-0.056610634,-2.046727407,-3.905337496,-1.328923206,-5.554090352,-2.765672898,-4.125922422,7.20827e-5,-0.054383271,-0.002111182,-0.077717663,-0.168017635,-0.043018908,-9.920384756,-4.740532366,-0.547741348,-3.106661909,-12.63872006,-0.076180077,-8.639662783,-14.63157512,-10.00758427,-2.284137003,-10.27701782,-1.610560899,0.013976065,0.054295404,-6.16737e-4,-5.556603419,-0.107117174,-0.172777705
GWR_100_19,-0.028568845,-0.020917314,0.007645536,-0.015045479,-0.001035579,-0.019041358,-0.018737025,-0.004337804,-0.002252416,0.014520224,-0.013306078,-0.019338889,0.002295571,-0.017363546,0.006300003,-0.0086218,-0.013161226,0.002471545,-0.001262049,0.01036141,-29.03160263,-140.3576376,-2.981019044,-2.245263003,-41.76342384,-0.172581931,-30.46647514,-42.61819836,-31.74227877,-21.17057263,-29.8811993,-21.06906032,0.071222068,0.103590874,7.75298e-4,-17.54334061,-0.592261956,-0.288983187,-23.9247921,-94.92804103,-2.366175529,-1.67296566,-35.4478126,-0.158772082,-26.07289456,-35.64768351,-25.27966725,-14.54918704,-24.19694151,-14.53021489,0.07460508,0.080069931,4.51001e-4,-13.80933436,-0.453379763,-0.273438719
GWR_100_333,0.004898236,-0.033499652,0.015764704,-1.09735e-4,0.022089522,-0.006967154,-0.030364747,0.001784896,-0.013237165,0.00969513,0.012156395,-0.025232368,0.005321625,5.61288e-4,0.022195885,0.001405006,-0.018986374,0.004822981,-0.008966842,0.004306445,-12.21350786,-61.88051047,-0.831178409,-3.123275589,-17.89086213,-0.097479971,-12.00713283,-17.67133199,-10.36827801,-9.444712433,-8.242638927,-9.645327102,0.026753613,-0.027302765,1.72007e-4,-9.762691628,0.179688468,-0.043322352,-7.793915469,-24.95682884,-0.456810039,-2.951898594,-12.12658451,-0.04877777,-7.121203573,-15.40483452,-5.371370254,-3.796192262,-4.485339664,-3.92404173,0.03393801,0.02556097,-4.78954e-4,-6.603666523,0.12421149,0.029948294
GWR_100_95,-0.008639733,0.019256011,-0.011787568,2.01831e-4,-0.016538583,0.002946721,0.020082404,-0.003619177,0.00719281,-0.007632088,-0.044073522,0.024930515,-0.006400732,0.010994288,-0.038176279,-0.015936963,0.021080517,-0.024867641,0.004550413,-0.0108201,29.88249959,170.8930649,3.963278268,1.331599336,45.27579191,0.197501261,39.34290246,45.48809563,30.3881577,19.89679448,30.86802628,20.12845818,-0.054436307,-0.004404198,-4.01881e-4,21.5059386,0.186279801,0.280014927,25.14922668,93.43096574,2.775744788,0.588124441,36.94433158,0.127135458,30.92341893,38.51278652,27.38924024,11.66449413,28.32422968,11.76427765,-0.043498671,-0.064709211,-3.27833e-4,16.88046309,0.16597566,0.261762592
GWR_100_312,0.026053971,-0.018994992,0.010791039,0.003917579,0.024515937,0.006601945,-0.018558716,0.009096841,-0.009103513,0.003678795,0.036299927,-0.038759907,0.001608868,0.003729912,0.044255307,0.016591986,-0.024161162,0.014172008,-0.014229421,-7.38561e-4,-17.00205623,-84.09490906,-1.252790287,1.288751701,-26.76334568,-0.097624271,-20.27851972,-25.75617802,-18.13574187,-11.58420508,-17.11122581,-9.854340713,0.033551164,0.007237966,-0.002983642,-7.548983293,-0.324550892,-0.111749406,-9.352241863,-35.96693395,-0.608891312,2.550886594,-15.12475124,-0.020906822,-11.07354052,-13.46979546,-11.482952,-4.828542145,-11.83956068,-3.935788277,0.011540327,0.02630952,-0.001937201,-3.163316325,-0.212869576,-0.038652202
GWR_100_356,0.040030645,0.019543268,0.011503538,0.013952926,0.006663661,0.012929625,0.005373879,0.009994024,0.002105932,-0.001855739,0.020512355,0.025000469,0.002092726,0.006088979,-0.005885017,0.008133151,0.012829361,0.006335016,0.006243915,-0.00127613,19.54800757,76.27386857,-0.29525205,5.33855831,22.8255392,0.178783244,21.55003214,23.97713749,19.76941352,16.67553275,21.95059434,18.64294211,-0.025206534,0.029784167,-0.001718846,17.07852193,0.046033088,0.088596097,17.68854743,45.46121414,-0.313847747,3.58008851,21.71157812,0.14114427,19.30099004,23.14054043,18.90033305,9.992682402,19.49078851,10.96985673,-0.02548635,-0.006670085,-6.29165e-4,12.54263023,0.082098136,0.066626412
GWR_100_483,-0.062705522,-0.00145278,0.017535179,-0.003507347,-0.030606027,-0.041347872,-0.011414408,-0.026117335,5.66496e-4,0.012669005,-0.079928569,-0.041553925,0.00586461,7.02759e-4,-0.014708525,-0.044183493,-0.029029193,-0.036248695,-0.014349527,0.004426977,-20.79837328,-93.64976577,0.013454868,-2.668761744,-28.4106726,-0.253864464,-21.23525974,-27.02126355,-24.69426554,-15.83789211,-22.77826259,-15.63057076,0.059144756,-0.029477279,-0.001225771,-10.59283225,-0.748350789,-0.195035928,-18.24537753,-41.9056793,-0.197470362,-1.006930787,-23.93166205,-0.231996186,-19.71760767,-22.52756896,-23.86042099,-7.504456992,-23.41351812,-7.499571265,0.032479743,-0.010730212,7.5286e-5,-10.94149938,-0.397152873,-0.149590519
XXX_100_71,-0.007747848,0.002014777,0.012723194,0.018342572,-0.004471511,-0.011325956,-0.006851689,-0.012565829,-0.005608237,-0.002995415,-0.017302262,0.043839259,0.013420422,-0.006841657,-0.035741441,-0.020788804,0.013172127,-0.003645608,0.016650759,0.014578831,-15.08394162,-74.87228332,-0.897345171,2.451063682,-16.28683658,-0.066745686,-11.90256236,-15.5645345,-24.57207112,-14.70201513,-22.75236031,-12.17702301,-0.092105727,-0.022388732,-0.004844551,-17.23395726,0.363968386,-0.060066195,-15.7881048,-32.64052372,-1.445447131,2.241000259,-18.54896386,-0.113746151,-14.42233565,-16.89003377,-24.24224074,-6.966169255,-23.34343738,-5.721923238,-0.055580801,-0.015956408,-0.00198089,-15.57849312,0.243341427,-0.103447181
